CustomExercise,ExerciseInstructions
dragon fly,
hamstring march,
seated barbell press,
FLY Press,
Snatch Grip Shrug,
barbell drop lunge,
DB flat bench fly,
snatch grip high pull,
DB Incline Rear Delt Swing,
Bench Support Landmine Meadow Row,
Db Row,
pull up isometric,
Chest Supported Machine Row,
hybrid stance deadlift,
Chest Supported Machine Low Row,
snatch grip behind the neck press,
DB elbowing row,
rotational B stance RDL,
Drop lunge,
cable tricep pushdown,
box breathing,
incline DB skull crusher,
Landmine Row,
weighted strict dip,
pronated strict pull up,
Rower Hamstring Curl,
Pike Leg Lift Over,
Incline Bench DB Fly,
KB ARM BAR,
passive hang,
banded YTW,
Standing Bar Tricep Extensions,
Lying Hamstring Curl,
pull up cluster,
head supported pronated row,
WIDE GRIP PULL-UP + NARROW GRIP PULL-UP + CHIN-UP CLUSTERS,
B-STANCE RDL,
tall kneeling single arm DB press,
cyclist front squat,
Kettle bell  Squays,
sumo box squat,
single arm OH lunge,
DB crossbody carry,
KB single arm push press,
Front Box Squat,
feet  Elevated Hip Thrust + band,
tricep bench dip,
Landmine RDL,
Cable Chest Fly,
star plank,
Tricep Push Up,
crush grip curl,
pike handstand push up,
pike handstand push up,
barbell RDL,
landmine hack squat,
frog pumps,
single leg KB deadlift,
neutral grip  lat pulldown,
standing calf raise,
cyclist back squats,
suitcase knees over toes split squats,
POGO TO VERTICAL JUMP,
band assisted split squat jump,
Seal Rows,
NEUTRAL GRIP PULL UP,
aerobic conditioining,
GPP,
metcon,
1/2 kneeling arnold press,
DB box step up,
front rack lunge,
suitcase carry march,
speed bench press,
speed convential deadlift,
Monster band kick back,
WEIGHTED NEUTRAL GRIP PULL-UPS,
staggered stance KB swing,
band - Plyo Push-Up,
Back Rack Poliquin Step Up,
FEET ELEVATED HIP THRUST + BAND,
Deficit Shoulder Plank taps,
Narrow Grip Pull-Ups,
Symmertical Stance DB row - neutral grip,
Single Arm DB neutral Grip Bench press,
Snatch Grip RDL,
Supinated Grip inverted row,
hybrid stance deadlift,
strict bar dip,
half kneeling banded high to low chop,
band assisted nordic curl,
Low Incline 1 1/4 Dumbbell Bench Press,
Hand-Supported DB Suitcase Step-Up,
french press,
smith machine calf raise,
Weighted Supinated Pull up,
alt db bench press,
suitcase curtsy lunge,
serratus crunch,
Single Leg Skater Squat,
zercher box squat,
weighted neutral-grip pull up,
ALTERNATING DB BENCH PRESS - PRONATED GRIP,
prone rear lateral raises - pronated grip,
B-stance DB RDL,
landmine Lateral lunge,
Reverse Hyperextension,
Land Mine romanian deadlift - Single leg,
Incline Chest Supported Row - Pronated Grip,
Weighted Anchored Sit Up,
cyclist squat - back rack,
DB Knees Over Toes Split Squat -  contralateral,
DB spider curl,
Star Plank,
1.5 stance RDL with band,
1 arm supported DB row/w rotation,
Echo Bike,
double leg banded hamstring curl,
Banded Face pull,
Banded Push Downs,
Trap bar RDL,
rotational lateral lunge,
Knee Terminal Extensions - TKE,
Weighted Bar Dips,
Half Kneeling KB Windmill,
High incline DB press,
Single Leg RDL,
High Hang  Power Clean,
Defict jumping lunge,
Tall Plank hold,
Tall plank walk out,
1 -1/4 Bench Press,
Bodyweight Supinated grip strict pull up,
Bodyweight Supinated grip strict pull up,
Tuck Ups,
Standing Calf Machine Raise,
Z-press,
Split stance DB press,
Football bar bench press,
alt Zercher reverse lunge,
ISO DYNAMIC CHEST SUPPORTED ROWS,
Ring Reverse Fly,
Saxon Side Bends,
TRAP BAR DEADLIFT AGAINST A BAND,
Banded Speed Bench Press,
Hips elevated Goblet squat,
FEET ELEVATED CHIN-UPS,
Banded Hip flexroe pulls,
Hip Thrust Machine,
Banded Hip flexror pulls,
Banded Hip flexor pulls,
fan bike intervals,
KettleBell L-tuck,
Defict Suitcase Reverse Lunge,
Wide grip barbell curl,
B stance goblet squat,
Seated DB good morning,
wall leaning calf raise,
Crossbody B stance RDL,
Foam roller Plank roll-out,
single arm front rack curtsy lunge,
High pin Rack pull,
Heels Elvated Goblet Squats,
single arm suitcase calf raise,
DB Single Leg Hip Thrust Hold,
Single leg cable hip abduction,
DB frog pumps,
DB Single Leg Hip Thrust Hold,
Banded Pallof Press,
OverHead mobility,
Front split  mobility,
Foam roller Walk out,
FanBike,
1- 1/2 bench press,
DB tricep kickback,
DB leaning side delt raise,
KB front rack march,
Supinated Pull Up,
DB Incline Row - pronated grip,
Lat Pulldown - supinated grip,
Plank Shoulder Taps,
chest supported DB Lateral Raise,
single arm DB Overhead Carry,
B-STANCE RDL - DB,
Rowing 2k - time trial,
1-1/4 Hip Thrust Machine,
Single Leg Donkey Kicks,
Half-Kneeling arnold  Shoulder Press,
goblet Tall Kneeling To Standing,
Hand supported suitcase calf raise,
B-STANCE BB RDL,
KB Plank Pull Through,
Dumbell Y Raise,
Dead Stop Deadlifts.,
Half-Kneeling DB  arnold Shoulder Press,
Dumbell Y Raise,
half kneeling land mine press,
1 - 1 /4 Hip Thrust,
DB T-bar Row - pronated grip,
chest supported T-Bar Row,
High Hang Snatch Pull,
B stance Barbell RDL,
Lat Pulldown,
single arm DB Overhead Tricep Extension,
Landmine Meadow Row,
Landmine RDL,
Split Stance Landmine RDL,
Touch & go trap bar deadlifts.,
Reaching Dead Bug,
trap bar row,
incline tate press,
Heels Elevated Landmine squat,
KB press - wind mill,
Heels Floating Land Mine goblet Squat,
Incline  Close Grip Bench Press,
Bent Hollow Hold,
Land mine low handle cossack squat,
Land mine low handle cossack squat,
Land mine low cossack squat,
Land mine cossack squat,
DB box step up,
standing weighted hip abduction,
T-bar Row - pronated grip,
single leg pallof press,
Glute Bridge March,
no lockout Front Squat,
Hand supported DB box step up,
Contralateral Loading  DB box step up,
1  1/4 cyclist front squat,
tall Kneeling KB halo,
Concept2 bike erg,
Ring Row isometric hold.,
Side Plank Hip Tap,
Banded Tall Side Plank Row,
Hand Supported Single Leg RDL,
Conditioning Finisher,
Tall Plank Shoulder Taps,
Superman Hold,
Quadruped Plank Shoulder Tap,
Swimmer Kicks,
Bench Press - FSL,
Bench Press,
Romanian Deadlift,
bulgarian split squats,
Pronated Pull up,
Back Squat,
Bench assisted DB RDL,
Glute Bridge Dumbbell Bench Press,
Incline DB Curl,
incline skull crusher,
landmine sit up,
Sumo DeadLift,
DB Revese Lunge,
DB Revese Lunge,
SL LandMine RDL,
Reverse Hypers,
Half kneeling Cable pallof press,
KB farmers carry,
farmers carry,
Row ERG,
Ski Erg,
stationary bike,
Strict press,
barbell curl,
Supinated Barbell row.,
DB lateral raise,
Tuck L-sit,
weight plate hip abduction,
incline Bench Press,
Front foot elevated DB Revere lunge,
Glute Drive Machine,
pike handstand push up,
Seated Incline Db Curl,
Front Squat,
Barbell row.,
Back supported Seated DB press,
Bradford Press,
anchored Single leg lowering,
conventional deadlift,
Single Leg Dumbbell Deficit Calf Raises,
THE warm up,
ALT DB bent over row,
1/ 1/4 sumo stance goblet squat,
1   1/4 Defict Push Up,
Close grip Spoto Press,
Speed Banded  Lat Pull Down,
Dip lockout,
3D banded pull aparts,
